Country_ISO,Year,ESG_G_Regulatory_Quality,ESG_G_Rule_of_Law,ESG_G_Political_Stability,ESG_G_Gov_Effectiveness
AFG,2010,-1.4285697,-1.8493765,-2.5309742,-1.5857412
AFG,2011,-1.4373007,-1.9254815,-2.5512555,-1.6043337
AFG,2012,-1.2540947,-1.8835503,-2.5040196,-1.4997935
AFG,2013,-1.282454,-1.7022041,-2.699732,-1.5009938
AFG,2014,-1.1832846,-1.6376086,-2.3186705,-1.5246032
AFG,2015,-1.0671885,-1.6427748,-2.481253,-1.4711716
AFG,2016,-1.3608994,-1.580107,-2.4834928,-1.4177302
AFG,2017,-1.4164481,-1.5950991,-2.6139309,-1.4421872
AFG,2018,-1.3029823,-1.6668738,-2.5824048,-1.6312498
AFG,2019,-1.2762178,-1.6571549,-2.5893714,-1.6540805
AFG,2020,-1.3026506,-1.6556645,-2.5896897,-1.7167282
AFG,2021,-1.4099447,-1.7202682,-2.4506389,-1.7059035
AFG,2022,-1.4229756,-1.8586889,-2.4492487,-1.9646115
AFG,2023,-1.4305608,-1.896805,-2.3922828,-2.0924592
AFG,2024,-1.538435,-1.9354887,-2.2052112,-1.9339966
ALB,2010,0.1073455,-0.3178041,-0.1725061,-0.2964483
ALB,2011,0.053824,-0.2992654,-0.348045,-0.2490677
ALB,2012,-0.0835797,-0.4022258,-0.3697641,-0.3393566
ALB,2013,-0.0639442,-0.4812225,-0.1931708,-0.3564184
ALB,2014,0.056535,-0.2764225,0.2608816,0.0801175
ALB,2015,0.0444083,-0.2267931,0.1252711,0.1835585
ALB,2016,0.064283,-0.2061558,0.1659701,0.1974461
ALB,2017,0.1105237,-0.2057486,0.1638298,0.256049
ALB,2018,0.1139598,-0.1743527,0.1502032,0.2684643
ALB,2019,0.0917374,-0.2914281,0.004375,0.0266494
ALB,2020,-0.0195593,-0.2567382,-0.0049854,0.0187103
ALB,2021,-0.0049463,-0.2015586,0.0239536,0.1116368
ALB,2022,0.0155769,-0.1309656,0.0115425,0.1929668
ALB,2023,0.0632513,-0.1530111,0.0246567,0.293429
ALB,2024,0.1357347,-0.1185025,0.0204668,0.3123437
DZA,2010,-0.9696248,-0.7700849,-1.3176699,-0.6027467
DZA,2011,-1.134794,-0.833268,-1.4362269,-0.7223981
DZA,2012,-1.088001,-0.8202806,-1.2861441,-0.6595197
